book,author,birthYear,bookLabel,authorLabel,authorLast
http://www.wikidata.org/entity/Q7207363,http://www.wikidata.org/entity/Q44183,1911,Poems,William Golding,Golding
http://www.wikidata.org/entity/Q7207367,http://www.wikidata.org/entity/Q35064,1890,Poems,Agatha Christie,Christie
http://www.wikidata.org/entity/Q19038748,http://www.wikidata.org/entity/Q5460603,1850,Poems,Florence Earle Coates,Coates
http://www.wikidata.org/entity/Q19038766,http://www.wikidata.org/entity/Q5460603,1850,Poems,Florence Earle Coates,Coates
http://www.wikidata.org/entity/Q19038783,http://www.wikidata.org/entity/Q140412,1572,Poems,John Donne,Donne
http://www.wikidata.org/entity/Q19038789,http://www.wikidata.org/entity/Q37767,1888,Poems,T. S. Eliot,Eliot
http://www.wikidata.org/entity/Q19038803,http://www.wikidata.org/entity/Q4483821,1817,Poems,James Thomas Fields,Fields
http://www.wikidata.org/entity/Q19038811,http://www.wikidata.org/entity/Q1739864,1820,Poems,Alexander Beresford Hope,Hope
http://www.wikidata.org/entity/Q19038817,http://www.wikidata.org/entity/Q3611689,1847,Poems,Alice Meynell,Meynell
http://www.wikidata.org/entity/Q19038827,http://www.wikidata.org/entity/Q2717721,1853,Poems,Robert Underwood Johnson,Johnson
http://www.wikidata.org/entity/Q19038860,http://www.wikidata.org/entity/Q212719,1893,Poems,Wilfred Owen,Owen
http://www.wikidata.org/entity/Q23682789,http://www.wikidata.org/entity/Q315516,1716,Poems,Thomas Gray,Gray
http://www.wikidata.org/entity/Q23682858,http://www.wikidata.org/entity/Q315516,1716,Poems,Thomas Gray,Gray
http://www.wikidata.org/entity/Q67669055,http://www.wikidata.org/entity/Q532255,1758,Poems,Mary Darby Robinson,Robinson
http://www.wikidata.org/entity/Q77002450,http://www.wikidata.org/entity/Q15454409,1913,Poems,Myfanwy Haycock,Haycock
http://www.wikidata.org/entity/Q80689465,http://www.wikidata.org/entity/Q132138,1765,Poems,Anne Bannerman,Bannerman
http://www.wikidata.org/entity/Q80694052,http://www.wikidata.org/entity/Q268305,1743,Poems,Anna Laetitia Barbauld,Barbauld
http://www.wikidata.org/entity/Q80724426,http://www.wikidata.org/entity/Q272537,1793,Poems,Felicia Hemans,Hemans
http://www.wikidata.org/entity/Q80725631,http://www.wikidata.org/entity/Q16066354,1778,Poems,Margaret Holford,Holford
http://www.wikidata.org/entity/Q83440636,http://www.wikidata.org/entity/Q50383816,1773,Poems,J.S. Anna Liddiard,Liddiard
http://www.wikidata.org/entity/Q105496083,http://www.wikidata.org/entity/Q4198478,1922,Poems,Sergey Izgiyayev,Izgiyayev
http://www.wikidata.org/entity/Q109767696,http://www.wikidata.org/entity/Q951010,1926,Poems,Frank O'Hara,O'Hara
